1,21.294
2,22.407
3,22.288
4,21.988
5,21.892
6,20.671
7,19.181
8,19.328
9,18.649
10,18.776
11,19.367
12,20.530
13,20.282
14,21.050
15,21.121
16,20.506
17,20.409
18,20.340
19,20.274
20,20.676
21,21.309
22,21.659
23,21.834
24,22.413
25,21.618
26,20.682
27,19.662
28,18.768
29,18.725
30,18.598
31,19.283
32,19.715
33,20.170
34,20.605
35,21.234
36,20.522
37,20.477
38,20.369
39,20.256
40,20.489
41,21.437
42,22.183
43,22.736
44,22.415
45,21.869
46,20.715
47,19.493
48,18.772
49,18.482
50,18.524
51,19.406
52,20.582
53,20.444
54,21.360
55,21.142
56,20.627
57,20.416
58,20.111
59,20.799
60,21.139
61,21.257
62,21.715
63,22.338
64,22.430
65,21.682
66,20.609
67,19.115
68,18.653
69,18.252
70,18.906
71,19.323
72,20.083
73,20.282
74,20.772
75,21.270
76,20.895
77,20.585
78,20.474
79,20.605
80,21.080
81,21.087
82,21.851
83,22.067
84,22.070
85,21.368
86,20.157
87,19.151
88,18.549
89,18.705
90,19.430
91,19.030
92,20.396
93,21.084
94,21.000
95,20.572
96,20.257
97,19.728
98,19.649
99,19.941
100,20.839
